DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               Amb_P                     CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-08-01                00:04:21.358              212.00302498              5088.072599               213.00302498              1659312261.358            0                         963                       0.0000000000E+00          1.4000368583E+02          4.4999565125E+01          3.2562500000E+01          4.5122001648E+01          4.4998435974E+01          4.7000000000E+01          0.0000000000E+00          3.7982178382E+04          0.0000000000E+00          3.1625011769E-01          3.2246378261E-01          3.2119084084E-01          3.2079373269E-01          3.2382616484E-01          3.3018643661E-01          3.2887109195E-01          3.2842806384E-01          4.0711925829E+02          4.1662223955E+02          2.0847017186E+00          2.1204217386E+00          1.3260612610E+00          1.4914659608E+00          0.0000000000E+00          6.4743465483E-01          5.5179221008E+01          1.5297221138E+00          7.8575569728E+01          4.5363529229E+02          1.4140764220E+00          
2022-08-01                00:04:22.108              212.00303366              5088.072808               213.00303366              1659312262.108            0                         963                       0.0000000000E+00          1.4000368583E+02          4.4999565125E+01          3.2562500000E+01          4.5122001648E+01          4.4998435974E+01          4.7000000000E+01          0.0000000000E+00          3.7982178382E+04          0.0000000000E+00          3.1623726144E-01          3.2230811958E-01          3.2112813730E-01          3.2078240471E-01          3.2380564960E-01          3.3002691693E-01          3.2880697243E-01          3.2841668775E-01          4.0683966301E+02          4.1632685315E+02          2.0842008851E+00          2.1198777466E+00          1.3247969298E+00          1.5032226167E+00          0.0000000000E+00          6.4743465483E-01          5.5179221008E+01          1.5297221138E+00          7.8575569728E+01          4.5363529229E+02          1.4140764220E+00          
2022-08-01                00:04:22.677              212.00304024              5088.072966               213.00304024              1659312262.677            0                         963                       0.0000000000E+00          1.3999801009E+02          4.4999565125E+01          3.2562500000E+01          4.5122001648E+01          4.4998435974E+01          2.0000000000E+00          0.0000000000E+00          3.7979158872E+04          0.0000000000E+00          3.1770118033E-01          3.2220012539E-01          3.2113140268E-01          3.2077819391E-01          3.2529875061E-01          3.2991613023E-01          3.2881003177E-01          3.2841260321E-01          4.0662754035E+02          4.1610275943E+02          2.0838208739E+00          2.1194650051E+00          1.3238377837E+00          1.5121557710E+00          0.0000000000E+00          6.4743465483E-01          5.5179221008E+01          1.5297221138E+00          7.8056719101E+01          4.5363529229E+02          1.4994893439E+00          
2022-08-01                00:04:23.368              212.00304825              5088.073158               213.00304825              1659312263.369            0                         963                       0.0000000000E+00          1.3999673462E+02          4.4999565125E+01          3.2562500000E+01          4.5122001648E+01          4.4998435974E+01          4.6000000000E+01          0.0000000000E+00          3.7976746094E+04          0.0000000000E+00          3.1948076934E-01          3.2211769292E-01          3.2115703443E-01          3.2078257832E-01          3.2711223928E-01          3.2983097034E-01          3.2883577897E-01          3.2841729852E-01          4.0636955711E+02          4.1582835382E+02          2.0833587084E+00          2.1189560531E+00          1.3224154107E+00          1.4914350253E+00          0.0000000000E+00          6.4743465483E-01          5.4906348512E+01          1.5297221138E+00          7.8056719101E+01          4.5363529229E+02          1.4994893439E+00          
2022-08-01                00:04:24.382              212.00305999              5088.073440               213.00305999              1659312264.383            0                         963                       0.0000000000E+00          1.3999812864E+02          4.4999562169E+01          3.2561894673E+01          4.5122001057E+01          4.4998438043E+01          4.7000000000E+01          0.0000000000E+00          3.7976783019E+04          0.0000000000E+00          3.2209007823E-01          3.2211700255E-01          3.2124826244E-01          3.2079969914E-01          3.2977105046E-01          3.2982947235E-01          3.2892808178E-01          3.2843500366E-01          4.0620958151E+02          4.1564934867E+02          2.0826812911E+00          2.1182099054E+00          1.3203237394E+00          1.4610768823E+00          0.0000000000E+00          6.6012647271E-01          5.4906348512E+01          1.5655117486E+00          7.8056719101E+01          4.5363529229E+02          1.4994893439E+00          
2022-08-01                00:04:25.128              212.00306861              5088.073647               213.00306861              1659312265.128            0                         963                       0.0000000000E+00          1.3999812864E+02          4.4999562169E+01          3.2561894673E+01          4.5122001057E+01          4.4998438043E+01          4.7000000000E+01          0.0000000000E+00          3.7976783019E+04          0.0000000000E+00          3.2207767242E-01          3.2204142561E-01          3.2125876130E-01          3.2081679204E-01          3.2974925165E-01          3.2975067170E-01          3.2893847634E-01          3.2845266023E-01          4.0609204919E+02          4.1551784472E+02          2.0821836427E+00          2.1176617906E+00          1.3187871161E+00          1.4387542984E+00          0.0000000000E+00          6.6012647271E-01          5.4906348512E+01          1.5655117486E+00          7.8056719101E+01          4.5363529229E+02          1.4994893439E+00          
2022-08-01                00:04:25.542              212.00307340              5088.073762               213.00307340              1659312265.542            0                         963                       0.0000000000E+00          1.3999971008E+02          4.4999259949E+01          3.2500000000E+01          4.5121940613E+01          4.4998649597E+01          2.5000000000E+01          0.0000000000E+00          3.7978003906E+04          0.0000000000E+00          3.2191215191E-01          3.2196149926E-01          3.2129614229E-01          3.2083045661E-01          3.2957476279E-01          3.2966714288E-01          3.2897616325E-01          3.2846679691E-01          4.0602673625E+02          4.1544477118E+02          2.0819071021E+00          2.1173572165E+00          1.3179332647E+00          1.4263480513E+00          0.0000000000E+00          6.6012647271E-01          5.4906348512E+01          1.5655117486E+00          7.8056719101E+01          4.5286377329E+02          1.4994893439E+00          
2022-08-01                00:04:26.650              212.00308623              5088.074069               213.00308623              1659312266.650            0                         963                       0.0000000000E+00          1.3999915881E+02          4.4999259949E+01          3.2552663438E+01          4.5121940613E+01          4.4998649597E+01          4.7000000000E+01          0.0000000000E+00          3.7979823784E+04          0.0000000000E+00          3.2146909244E-01          3.2183327437E-01          3.2132120904E-01          3.2083509452E-01          3.2910772631E-01          3.2953302376E-01          3.2900126482E-01          3.2847166541E-01          4.0585195518E+02          4.1524923266E+02          2.0815933902E+00          2.1169757641E+00          1.3156482458E+00          1.3931451881E+00          0.0000000000E+00          6.5817104211E-01          5.4906348512E+01          1.5356016311E+00          7.8056719101E+01          4.5286377329E+02          1.4994893439E+00          
2022-08-01                00:04:27.394              212.00309484              5088.074276               213.00309484              1659312267.394            0                         963                       0.0000000000E+00          1.3999915881E+02          4.4999259949E+01          3.2552663438E+01          4.5121940613E+01          4.4998649597E+01          4.7000000000E+01          0.0000000000E+00          3.7979823784E+04          0.0000000000E+00          3.2145665303E-01          3.2182385884E-01          3.2132292352E-01          3.2083970438E-01          3.2908592721E-01          3.2952184635E-01          3.2900233649E-01          3.2847648532E-01          4.0573459257E+02          4.1511794187E+02          2.0813827302E+00          2.1167196343E+00          1.3141140657E+00          1.3708527887E+00          0.0000000000E+00          6.5817104211E-01          5.4906348512E+01          1.5356016311E+00          7.8056719101E+01          4.5286377329E+02          1.4994893439E+00          
2022-08-01                00:04:27.959              212.00310138              5088.074433               213.00310138              1659312267.959            0                         963                       0.0000000000E+00          1.3999771285E+02          4.4999259949E+01          3.2562500000E+01          4.5121940613E+01          4.4998649597E+01          2.0000000000E+00          0.0000000000E+00          3.7978325115E+04          0.0000000000E+00          3.2225085196E-01          3.2180903656E-01          3.2123855253E-01          3.2084560902E-01          3.2989194208E-01          3.2950448114E-01          3.2891545387E-01          3.2848261550E-01          4.0564546474E+02          4.1501824219E+02          2.0812227282E+00          2.1165251110E+00          1.3129490846E+00          1.3539312588E+00          0.0000000000E+00          6.5817104211E-01          5.4906348512E+01          1.5356016311E+00          7.7443682629E+01          4.5286377329E+02          1.3412437895E+00          
