Model:	LI-7810
SN:	TG10-01449
Software Version:	2.3.3
Timestamp:	2022-12-05 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1670229534	835741043	10413	0	""	2022-12-05	09:38:54	6286.6401	459.88837	2065.6772	39.7446	55.0003	27.9551	37.0427	0.00122048	11.8595	54.5005	-24.25	-0.346409	14.8971	231
DATA	1670229535	835741043	10417	0	""	2022-12-05	09:38:55	6288.7222	461.7106	2065.3625	39.745	55.0003	27.9551	37.0429	0.00122635	11.86	54.5005	33.25	-0.346409	14.8971	213
DATA	1670229536	835741043	10421	0	""	2022-12-05	09:38:56	6289.4463	461.84827	2065.0247	39.7459	55.0003	27.9534	37.0423	0.00122907	11.8603	54.5005	56	-0.346409	14.8963	 29
DATA	1670229537	835741043	10425	0	""	2022-12-05	09:38:57	6289.8379	461.51175	2064.8674	39.745	55.0003	27.9547	37.0425	0.00122241	11.8604	54.5005	-34	-0.346409	14.8963	 28
DATA	1670229538	835741043	10429	0	""	2022-12-05	09:38:58	6291.6694	462.60699	2064.8362	39.745	55.0003	27.9555	37.0427	0.00122991	11.8602	54.5005	29.25	-0.346409	14.8959	155
DATA	1670229539	835741043	10433	0	""	2022-12-05	09:38:59	6292.4531	461.5712	2063.843	39.7459	55.0003	27.9567	37.0427	0.00122627	11.8601	54.5005	55.5	-0.346409	14.8959	 28
DATA	1670229540	835741043	10437	0	""	2022-12-05	09:39:00	6292.9336	461.65695	2064.2695	39.7459	55.0003	27.9534	37.0427	0.00122518	11.8602	54.5005	-87.5	-0.346409	14.8959	183
DATA	1670229541	835450887	10441	0	""	2022-12-05	09:39:01	6294.6284	460.91858	2065.2109	39.745	55.0003	27.953	37.0427	0.00122858	11.8608	54.5005	65.5	-0.346409	14.8943	 32
DATA	1670229542	835450887	10445	0	""	2022-12-05	09:39:02	6296.1567	461.81757	2065.501	39.7459	55.0003	27.9538	37.0427	0.00123698	11.8602	54.5005	-32.5	-0.346409	14.8951	131
DATA	1670229543	835450887	10449	0	""	2022-12-05	09:39:03	6298.0967	460.88803	2065.3867	39.7463	55.0003	27.9526	37.0427	0.00122982	11.8607	54.5005	3	-0.346409	14.8971	  6
DATA	1670229544	835450887	10453	0	""	2022-12-05	09:39:04	6298.8257	461.66125	2064.7236	39.7455	55.0003	27.9526	37.0429	0.00123173	11.86	54.5005	61.25	-0.346409	14.8971	 84
DATA	1670229545	835450887	10457	0	""	2022-12-05	09:39:05	6302.7983	462.27951	2064.1179	39.7455	55.0003	27.9534	37.0427	0.00122869	11.8606	54.5005	-48.5	-0.346409	14.8955	198
DATA	1670229546	835450887	10461	0	""	2022-12-05	09:39:06	6303.8608	462.15732	2063.8643	39.7459	55.0003	27.9518	37.0427	0.00122187	11.8606	54.5005	115.25	-0.346409	14.8947	235
DATA	1670229547	835450887	10465	0	""	2022-12-05	09:39:07	6305.7251	463.31769	2063.6025	39.7463	55.0003	27.9542	37.0427	0.00123906	11.8604	54.5005	119.75	-0.346409	14.8939	237
DATA	1670229548	835450887	10469	0	""	2022-12-05	09:39:08	6307.9736	462.93881	2063.707	39.7459	55.0003	27.9534	37.0427	0.00123628	11.8606	54.5005	-136.75	-0.346409	14.8955	  5
DATA	1670229549	835154056	10473	0	""	2022-12-05	09:39:09	6310.8706	462.67148	2063.6777	39.7455	55.0003	27.9498	37.0427	0.00123002	11.8603	54.5005	25.75	-0.346409	14.8947	188
DATA	1670229550	835154056	10477	0	""	2022-12-05	09:39:10	6312.5254	462.9693	2063.9106	39.7455	55.0003	27.9522	37.0427	0.00122819	11.8602	54.5005	45.75	-0.346409	14.8935	116
DATA	1670229551	835154056	10481	0	""	2022-12-05	09:39:11	6314.6675	462.27151	2064.1946	39.7455	55.0003	27.9518	37.0427	0.00122814	11.8602	54.5005	-42	-0.346409	14.8939	 57
DATA	1670229552	835154056	10485	0	""	2022-12-05	09:39:12	6316.4985	461.17139	2064.7561	39.7455	55.0003	27.9506	37.0425	0.0012343	11.8598	54.5005	-6.5	-0.346409	14.8939	 77
DATA	1670229553	835154056	10489	0	""	2022-12-05	09:39:13	6320.2368	460.32428	2064.9934	39.7471	55.0003	27.951	37.0425	0.00122562	11.8607	54.5005	188	-0.346409	14.8931	 18
DATA	1670229554	835154056	10493	0	""	2022-12-05	09:39:14	6319.356	461.06229	2065.458	39.745	55.0003	27.9538	37.0427	0.00123321	11.8607	54.5005	30.5	-0.346409	14.8935	216
DATA	1670229555	835154056	10497	0	""	2022-12-05	09:39:15	6321.8584	461.38489	2065.0525	39.7459	55.0003	27.9514	37.0427	0.00122963	11.8603	54.5005	-30	-0.346409	14.8923	 75
DATA	1670229556	834856033	10501	0	""	2022-12-05	09:39:16	6322.9497	461.14227	2065.3228	39.7455	55.0003	27.9542	37.0427	0.00122783	11.8606	54.5005	49.75	-0.346409	14.892	126
DATA	1670229557	834856033	10505	0	""	2022-12-05	09:39:17	6320.8765	460.80548	2064.9443	39.7446	55.0003	27.9526	37.0427	0.00123852	11.8598	54.5005	-16	-0.346409	14.8916	 87
DATA	1670229558	834856033	10509	0	""	2022-12-05	09:39:18	6316.1494	461.42856	2064.7361	39.7467	55.0003	27.9522	37.0427	0.00122215	11.8601	54.5005	172	-0.346409	14.892	 17
DATA	1670229559	834856033	10513	0	""	2022-12-05	09:39:19	6314.5791	461.15775	2064.9878	39.7459	55.0003	27.9538	37.0427	0.0012357	11.8603	54.5005	-17.5	-0.346409	14.892	 92
DATA	1670229560	834856033	10517	0	""	2022-12-05	09:39:20	6313.7363	462.68915	2064.3867	39.7479	55.0005	27.9538	37.0427	0.00123314	11.8606	54.5004	143.75	-0.346409	14.8931	231
DATA	1670229561	834856033	10521	0	""	2022-12-05	09:39:21	6312.1509	461.51355	2064.3684	39.7475	55.0005	27.9555	37.0423	0.00122069	11.86	54.5	38	-0.346409	14.8939	 21
