DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2023-01-08                09:17:02.674              7.38683652                177.284076                8.38683652                1673165822.675            0                         963                       1.4000047845E+02          4.5000846863E+01          3.3601694915E+01          4.4552146912E+01          4.5001335144E+01          4.7000000000E+01          0.0000000000E+00          4.0717698755E+04          0.0000000000E+00          3.1428370114E-01          3.2516318607E-01          3.2811718120E-01          3.2453922935E-01          3.1944151521E-01          3.3048114614E-01          3.3349555911E-01          3.2989124074E-01          4.1982537422E+02          4.2662683377E+02          2.0439781252E+00          2.0683425305E+00          9.2687784734E-01          1.1242828192E+00          0.0000000000E+00          6.4099016220E-01          5.6893046742E+01          1.0532272086E+00          5.5149320522E+01          4.4722748555E+02          1.1902897968E+00          
2023-01-08                09:17:03.457              7.38684558                177.284294                8.38684558                1673165823.458            0                         963                       1.4000047845E+02          4.5000846863E+01          3.3601694915E+01          4.4552146912E+01          4.5001335144E+01          4.7000000000E+01          0.0000000000E+00          4.0717698755E+04          0.0000000000E+00          3.1428699107E-01          3.2504744052E-01          3.2777985949E-01          3.2448847570E-01          3.1944657895E-01          3.3036570939E-01          3.3315290106E-01          3.2983953449E-01          4.1984442401E+02          4.2664846859E+02          2.0440037681E+00          2.0683765881E+00          9.2718305335E-01          1.1167948215E+00          0.0000000000E+00          6.4099016220E-01          5.6893046742E+01          1.0532272086E+00          5.5149320522E+01          4.4722748555E+02          1.1902897968E+00          
2023-01-08                09:17:04.525              7.38685793                177.284590                8.38685793                1673165824.525            0                         963                       1.4000104052E+02          4.5000764089E+01          3.3615154110E+01          4.4552147330E+01          4.5001305463E+01          2.0000000000E+00          0.0000000000E+00          4.0718203045E+04          0.0000000000E+00          3.1814490790E-01          3.2471874849E-01          3.2755045588E-01          3.2445722659E-01          3.2337068382E-01          3.3003261294E-01          3.3291999112E-01          3.2980766824E-01          4.1987039498E+02          4.2667796281E+02          2.0440387281E+00          2.0684230157E+00          9.2759896772E-01          1.1066402918E+00          0.0000000000E+00          6.4099016220E-01          5.6893046742E+01          1.0532272086E+00          5.5380967603E+01          4.4722748555E+02          1.0913696847E+00          
2023-01-08                09:17:09.895              7.38692009                177.286082                8.38692009                1673165829.896            0                         963                       1.4000360107E+02          4.5000297546E+01          3.3562500000E+01          4.4552177429E+01          4.5001365662E+01          4.6000000000E+01          0.0000000000E+00          4.0720054688E+04          0.0000000000E+00          3.3751759709E-01          3.2507950799E-01          3.2763865484E-01          3.2472153830E-01          3.4305005312E-01          3.3040124523E-01          3.3300448912E-01          3.3007625767E-01          4.2000115159E+02          4.2679367824E+02          2.0442147370E+00          2.0685400202E+00          9.2529932441E-01          1.2207557392E+00          0.0000000000E+00          6.4099016220E-01          5.6927332734E+01          1.0532272086E+00          5.5380967603E+01          4.4722748555E+02          1.0913696847E+00          
2023-01-08                09:17:10.890              7.38693160                177.286358                8.38693160                1673165830.890            0                         963                       1.4000122480E+02          4.5000297546E+01          3.3593825666E+01          4.4552177429E+01          4.5001365662E+01          4.7000000000E+01          0.0000000000E+00          4.0721556901E+04          0.0000000000E+00          3.4110255220E-01          3.2545709890E-01          3.2779274901E-01          3.2480303589E-01          3.4669158965E-01          3.3078673427E-01          3.3315980307E-01          3.3015892101E-01          4.1998677754E+02          4.2677590402E+02          2.0442473874E+00          2.0685617780E+00          9.2487475168E-01          1.2418737125E+00          0.0000000000E+00          6.9691650428E-01          5.6927332734E+01          1.1051994514E+00          5.5380967603E+01          4.4722748555E+02          1.0913696847E+00          
2023-01-08                09:17:11.651              7.38694042                177.286570                8.38694042                1673165831.652            0                         963                       1.4000122480E+02          4.5000297546E+01          3.3593825666E+01          4.4552177429E+01          4.5001365662E+01          4.7000000000E+01          0.0000000000E+00          4.0721556901E+04          0.0000000000E+00          3.4109884089E-01          3.2623918600E-01          3.2794681445E-01          3.2494047765E-01          3.4668582606E-01          3.3158168886E-01          3.3331507064E-01          3.3029849736E-01          4.1997575005E+02          4.2676227007E+02          2.0442724057E+00          2.0685784459E+00          9.2454928228E-01          1.2580274481E+00          0.0000000000E+00          6.9691650428E-01          5.6927332734E+01          1.1051994514E+00          5.5380967603E+01          4.4722748555E+02          1.0913696847E+00          
2023-01-08                09:17:12.052              7.38694506                177.286681                8.38694506                1673165832.053            0                         963                       1.3999596927E+02          4.5000297546E+01          3.3625000000E+01          4.4552177429E+01          4.5001365662E+01          2.5000000000E+01          0.0000000000E+00          4.0714769942E+04          0.0000000000E+00          3.3669215664E-01          3.2630077494E-01          3.2816544800E-01          3.2505601891E-01          3.4220542388E-01          3.3164488203E-01          3.3353732947E-01          3.3041581980E-01          4.1996993352E+02          4.2675508177E+02          2.0442855529E+00          2.0685871985E+00          9.2437800871E-01          1.2664718068E+00          0.0000000000E+00          6.9691650428E-01          5.6927332734E+01          1.1051994514E+00          5.5380967603E+01          4.4730250965E+02          1.0913696847E+00          
2023-01-08                09:17:13.147              7.38695772                177.286985                8.38695772                1673165833.147            0                         963                       1.3999896155E+02          4.5000297546E+01          3.3597154964E+01          4.4552177429E+01          4.5001365662E+01          4.7000000000E+01          0.0000000000E+00          4.0711785894E+04          0.0000000000E+00          3.2466989288E-01          3.2576112653E-01          3.2791578547E-01          3.2511293379E-01          3.2998218246E-01          3.3109670615E-01          3.3328219844E-01          3.3047355325E-01          4.1995406920E+02          4.2673547538E+02          2.0443775224E+00          2.0686678456E+00          9.2391075303E-01          1.2895095015E+00          0.0000000000E+00          6.6172249419E-01          5.6927332734E+01          1.0414952301E+00          5.5380967603E+01          4.4730250965E+02          1.0913696847E+00          
2023-01-08                09:17:13.926              7.38696674                177.287202                8.38696674                1673165833.926            0                         963                       1.3999896155E+02          4.5000297546E+01          3.3597154964E+01          4.4552177429E+01          4.5001365662E+01          4.7000000000E+01          0.0000000000E+00          4.0711785894E+04          0.0000000000E+00          3.2466607206E-01          3.2535032663E-01          3.2783652416E-01          3.2511072161E-01          3.2997636212E-01          3.3067928819E-01          3.3320156829E-01          3.3047109191E-01          4.1994279870E+02          4.2672154093E+02          2.0444430467E+00          2.0687253076E+00          9.2357804189E-01          1.3060235996E+00          0.0000000000E+00          6.6172249419E-01          5.6927332734E+01          1.0414952301E+00          5.5380967603E+01          4.4730250965E+02          1.0913696847E+00          
2023-01-08                09:17:14.982              7.38697896                177.287495                8.38697896                1673165834.982            0                         963                       1.4000575591E+02          4.5000106602E+01          3.3562500000E+01          4.4552218607E+01          4.5001323857E+01          2.0000000000E+00          0.0000000000E+00          4.0721188972E+04          0.0000000000E+00          3.2477351854E-01          3.2532285958E-01          3.2776359546E-01          3.2510906051E-01          3.3008295299E-01          3.3065089127E-01          3.3312731554E-01          3.3046917990E-01          4.1992752093E+02          4.2670265229E+02          2.0445318709E+00          2.0688032022E+00          9.2312703434E-01          1.3284112926E+00          0.0000000000E+00          6.6172249419E-01          5.6927332734E+01          1.0414952301E+00          5.5124575478E+01          4.4730250965E+02          1.3130542679E+00          
