SN:3K43430000002063 BD:Nov 27 2018 VC:936e000 MD5:9aee3a1333f215ea1fd75a6f60f596f4
                     Time,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,            R14,         R14_sd,          R15Aa,       R15Aa_sd,          R15Ab,       R15Ab_sd,          R15Ba,       R15Ba_sd,          R15Bb,       R15Bb_sd,           R18A,        R18A_sd,      [NNO]_ppm,   [NNO]_ppm_sd,    [NN15O]_ppm, [NN15O]_ppm_sd,    [N15NO]_ppm, [N15NO]_ppm_sd,    [NNO18]_ppm, [NNO18]_ppm_sd,          d15NA,       d15NA_sd,          d15NB,       d15NB_sd,           d15N,        d15N_sd,           d18O,        d18O_sd,             SP,          SP_sd,      [N2O]_ppm,   [N2O]_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         LTC0_v,      LTC0_v_sd,           AIN5,        AIN5_sd,           AIN6,        AIN6_sd,         DetOff,      DetOff_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  05/09/2022 11:08:51.158,    6.729055e+2,    9.446266e+1,    0.000000e+0,    0.000000e+0,    2.960497e-1,    3.353311e-4,    6.781695e-4,    8.405028e-6,    1.093932e-3,    1.382765e-5,    4.649843e-4,    9.457275e-6,    1.096824e-3,    1.485101e-5,    7.107817e-4,    2.220211e-5,    2.961280e-1,    3.351923e-4,    1.090370e-3,    1.378076e-5,    1.103998e-3,    1.494425e-5,    6.262906e-4,    1.964146e-5,    1.658966e+0,    1.280975e+1,    1.417513e+1,    1.359739e+1,    7.917046e+0,    1.102509e+1,    5.471197e+1,    3.263265e+1,   -1.251616e+1,    1.455151e+1,    2.989486e-1,    3.451762e-4,    4.505039e+1,    6.218591e-3,    4.440136e+1,    1.594584e-4,    9.004292e-2,    1.080798e-3,    1.272798e+1,    7.482673e-3,   -2.164350e+0,    7.183899e-5,    7.981834e-1,    9.260672e-6,    8.601164e-1,    4.832303e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:09:01.170,    6.576610e+2,    7.394231e+1,    0.000000e+0,    0.000000e+0,    2.959992e-1,    2.105628e-4,    6.795703e-4,    8.925741e-6,    1.097074e-3,    1.293993e-5,    4.582034e-4,    1.368228e-5,    1.090279e-3,    1.448234e-5,    7.019754e-4,    2.031703e-5,    2.960775e-1,    2.104758e-4,    1.093499e-3,    1.290275e-5,    1.097414e-3,    1.457119e-5,    6.185005e-4,    1.797382e-5,    4.699535e+0,    1.159968e+1,    8.296536e+0,    1.313364e+1,    6.498035e+0,    9.892206e+0,    4.177155e+1,    2.985311e+1,   -3.597002e+0,    1.492203e+1,    2.988869e-1,    2.326322e-4,    4.505359e+1,    1.120518e-2,    4.440133e+1,    3.230772e-4,    8.949767e-2,    8.373021e-4,    1.272915e+1,    7.496782e-3,   -2.164174e+0,    3.832750e-5,    7.981751e-1,    1.703422e-5,    8.601475e-1,    4.436119e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:09:11.182,    6.215511e+2,    9.315440e+1,    0.000000e+0,    0.000000e+0,    2.961952e-1,    3.418156e-4,    6.820233e-4,    1.693745e-5,    1.093445e-3,    2.084507e-5,    4.624575e-4,    1.260030e-5,    1.086655e-3,    2.113817e-5,    7.039050e-4,    1.833137e-5,    2.962734e-1,    3.416742e-4,    1.089894e-3,    2.078228e-5,    1.093752e-3,    2.127503e-5,    6.203158e-4,    1.610950e-5,    7.243496e-1,    1.884545e+1,    4.270372e+0,    1.951482e+1,    2.497361e+0,    1.151044e+1,    4.415647e+1,    2.739860e+1,   -3.546022e+0,    3.069197e+1,    2.990774e-1,    3.448033e-4,    4.505643e+1,    1.464765e-2,    4.440131e+1,    4.572422e-4,    8.990102e-2,    5.614799e-4,    1.272535e+1,    5.498794e-3,   -2.164135e+0,   4.681111e-16,    7.981836e-1,    1.820407e-5,    8.601576e-1,    4.287051e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:09:21.194,    6.023477e+2,    1.015705e+2,    0.000000e+0,    0.000000e+0,    2.960938e-1,    2.855747e-4,    6.783477e-4,    1.507742e-5,    1.091095e-3,    1.672432e-5,    4.624213e-4,    1.520946e-5,    1.085322e-3,    2.500657e-5,    6.966248e-4,    1.311943e-5,    2.961721e-1,    2.854566e-4,    1.087545e-3,    1.667154e-5,    1.092418e-3,    2.515552e-5,    6.138400e-4,    1.151378e-5,   -1.087915e+0,    1.525335e+1,    3.375719e+0,    2.245207e+1,    1.143902e+0,    1.368736e+1,    3.360731e+1,    1.967619e+1,   -4.463634e+0,    2.690994e+1,    2.989659e-1,    3.022020e-4,    4.504974e+1,    8.328371e-3,    4.440141e+1,    2.310597e-4,    8.978730e-2,    7.085784e-4,    1.273023e+1,    3.671729e-3,   -2.164135e+0,   4.681111e-16,    7.981876e-1,    1.643253e-5,    8.601670e-1,    5.934158e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:09:31.206,    6.139161e+2,    6.587391e+1,    0.000000e+0,    0.000000e+0,    2.962533e-1,    3.068324e-4,    6.815558e-4,    1.169579e-5,    1.095741e-3,    1.328211e-5,    4.639054e-4,    1.332924e-5,    1.093021e-3,    1.928308e-5,    6.960991e-4,    2.215376e-5,    2.963316e-1,    3.067055e-4,    1.092185e-3,    1.322964e-5,    1.100155e-3,    1.941439e-5,    6.134730e-4,    1.953912e-5,    2.641366e+0,    1.268956e+1,    9.956501e+0,    1.810149e+1,    6.298933e+0,    1.302162e+1,    3.242667e+1,    3.280742e+1,   -7.315136e+0,    1.729528e+1,    2.991374e-1,    2.980416e-4,    4.505383e+1,    1.132515e-2,    4.440105e+1,    2.885203e-4,    9.012009e-2,    9.158640e-4,    1.272222e+1,    7.749024e-3,   -2.164135e+0,   4.681111e-16,    7.981826e-1,    1.926426e-5,    8.601512e-1,    6.411149e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:09:41.218,    6.319300e+2,    5.106657e+1,    0.000000e+0,    0.000000e+0,    2.961966e-1,    2.132116e-4,    6.815415e-4,    1.004545e-5,    1.095076e-3,    1.118985e-5,    4.554918e-4,    8.694931e-6,    1.078270e-3,    1.604265e-5,    7.091955e-4,    2.561470e-5,    2.962749e-1,    2.131234e-4,    1.091519e-3,    1.116124e-5,    1.085312e-3,    1.614697e-5,    6.249816e-4,    2.261578e-5,    2.211598e+0,    9.842043e+0,   -3.484328e+0,    1.482279e+1,   -6.363649e-1,    8.979461e+0,    5.198914e+1,    3.782236e+1,    5.695926e+0,    1.762495e+1,    2.990767e-1,    2.299706e-4,    4.505684e+1,    1.129151e-2,    4.440094e+1,    4.026518e-4,    8.987827e-2,    5.701293e-4,    1.272791e+1,    5.029036e-3,   -2.164119e+0,    2.339282e-5,    7.981730e-1,    1.864159e-5,    8.601413e-1,    4.266576e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:09:51.230,    6.533571e+2,    9.867149e+1,    0.000000e+0,    0.000000e+0,    2.962198e-1,    3.010681e-4,    6.806398e-4,    1.007530e-5,    1.094245e-3,    1.427396e-5,    4.531437e-4,    1.325737e-5,    1.077059e-3,    1.636647e-5,    7.091615e-4,    1.756355e-5,    2.962981e-1,    3.009435e-4,    1.090692e-3,    1.422026e-5,    1.084092e-3,    1.647064e-5,    6.249636e-4,    1.545090e-5,    1.383266e+0,    1.349001e+1,   -4.682994e+0,    1.503313e+1,   -1.649864e+0,    8.914347e+0,    5.188922e+1,    2.618106e+1,    6.066259e+0,    2.231789e+1,    2.990978e-1,    2.959573e-4,    4.505279e+1,    6.430181e-3,    4.440092e+1,    2.342308e-4,    9.006441e-2,    7.715069e-4,    1.272576e+1,    6.458266e-3,   -2.164039e+0,    2.023278e-5,    7.981891e-1,    1.595890e-5,    8.601379e-1,    3.514563e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:10:01.242,    6.260070e+2,    5.073153e+1,    0.000000e+0,    0.000000e+0,    2.961476e-1,    2.547633e-4,    6.780548e-4,    9.751922e-6,    1.091521e-3,    1.286811e-5,    4.643852e-4,    1.121628e-5,    1.093373e-3,    1.557498e-5,    6.988886e-4,    1.619666e-5,    2.962259e-1,    2.546579e-4,    1.087973e-3,    1.282641e-5,    1.100517e-3,    1.568468e-5,    6.158677e-4,    1.426886e-5,   -8.748309e-1,    1.180313e+1,    1.064943e+1,    1.478769e+1,    4.887302e+0,    9.453496e+0,    3.682899e+1,    2.405604e+1,   -1.152427e+1,    1.893423e+1,    2.990302e-1,    2.491363e-4,    4.504988e+1,    5.873763e-3,    4.440112e+1,    2.279144e-4,    8.948326e-2,    7.399737e-4,    1.272878e+1,    5.245381e-3,   -2.164007e+0,    1.668519e-5,    7.981906e-1,    2.152549e-5,    8.601544e-1,    4.792611e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:10:11.254,    6.677936e+2,    7.617788e+1,    0.000000e+0,    0.000000e+0,    2.962418e-1,    1.666568e-4,    6.859838e-4,    1.410960e-5,    1.103734e-3,    2.169363e-5,    4.597237e-4,    1.388148e-5,    1.089365e-3,    1.801952e-5,    7.107621e-4,    1.570966e-5,    2.963200e-1,    1.665879e-4,    1.100152e-3,    2.162272e-5,    1.096476e-3,    1.813840e-5,    6.263886e-4,    1.386582e-5,    9.988625e+0,    1.988617e+1,    6.614318e+0,    1.671877e+1,    8.301471e+0,    1.458820e+1,    5.420296e+1,    2.321801e+1,    3.374306e+0,    2.233142e+1,    2.991430e-1,    1.708684e-4,    4.505159e+1,    7.153361e-3,    4.440096e+1,    2.521928e-4,    8.981923e-2,    6.298150e-4,    1.272571e+1,    6.290086e-3,   -2.163944e+0,    1.857350e-5,    7.981818e-1,    1.374510e-5,    8.601770e-1,    5.761961e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:10:21.266,    5.985582e+2,    7.837872e+1,    0.000000e+0,    0.000000e+0,    2.962595e-1,    2.896807e-4,    6.814626e-4,    1.043028e-5,    1.094075e-3,    1.509698e-5,    4.592921e-4,    1.436956e-5,    1.082004e-3,    2.081252e-5,    6.961124e-4,    1.535281e-5,    2.963377e-1,    2.895608e-4,    1.090525e-3,    1.504446e-5,    1.089066e-3,    2.096505e-5,    6.134889e-4,    1.357046e-5,    1.093722e+0,    1.403652e+1,   -2.345415e-1,    2.001795e+1,    4.295904e-1,    1.523642e+1,    3.242957e+1,    2.261874e+1,    1.328264e+0,    1.633676e+1,    2.991308e-1,    2.746487e-4,    4.505745e+1,    1.338965e-2,    4.440061e+1,    3.763811e-4,    8.969180e-2,    9.527575e-4,    1.272412e+1,    5.089148e-3,   -2.163874e+0,    1.762436e-5,    7.981820e-1,    1.788168e-5,    8.601826e-1,    6.810628e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
